day,code,mm,macd,bollinger,rsi,score
2025-7-16,CS.PA,85,0,50,,
2025-7-16,CS.PA,85,0,50,,
2025-7-16,PARRO.PA,100,100,0,,
2025-7-16,CLARI.PA,100,25,50,,
2025-7-16,EN.PA,85,50,50,,
2025-7-16,OVH.PA,85,50,50,,
2025-7-16,ALO.PA,0,100,25,,
2025-7-16,TFI.PA,100,25,50,,
2025-7-16,ACA.PA,65,75,50,,
2025-7-16,HO.PA,85,75,50,,
2025-7-16,OR.PA,85,0,50,,
2025-7-16,TTE.PA,15,25,50,,
2025-7-16,SAN.PA,0,75,50,,
2025-7-16,BN.PA,75,50,75,,
2025-7-16,BNP.PA,85,50,50,,
2025-7-16,GLE.PA,100,50,50,,
2025-7-16,CA.PA,0,50,50,,
2025-7-16,DG.PA,85,0,50,,
2025-7-18,CLARI.PA,100,25,50,,
2025-7-18,CS.PA,85,0,50,,
2025-7-18,PARRO.PA,100,100,0,,
2025-7-18,EN.PA,85,50,50,,
2025-7-18,OVH.PA,85,50,50,,
2025-7-18,ALO.PA,0,100,50,,
2025-7-18,TFI.PA,100,25,50,,
2025-7-18,ACA.PA,65,50,50,,
2025-7-18,HO.PA,85,75,50,,
2025-7-18,TTE.PA,15,25,50,,
2025-7-18,OR.PA,85,0,50,,
2025-7-18,SAN.PA,0,75,50,,
2025-7-18,BN.PA,75,50,75,,
2025-7-18,BNP.PA,85,50,50,,
2025-7-18,GLE.PA,100,50,50,,
2025-7-18,CA.PA,0,50,50,,
2025-7-18,DG.PA,85,0,50,,
2025-7-19,CS.PA,85,100,50,53,70.5
2025-7-19,CLARI.PA,100,25,50,49,63.5
2025-7-19,PARRO.PA,100,100,0,30,57.5
2025-7-19,EN.PA,100,50,50,46,66.5
2025-7-19,OVH.PA,85,50,50,56,63.75
2025-7-19,ALO.PA,15,100,25,48,38.5
2025-7-19,TFI.PA,100,50,50,60,70
2025-7-19,ACA.PA,65,75,50,50,59
2025-7-19,HO.PA,75,75,50,47,61.75
2025-7-19,OR.PA,85,0,50,41,52.5
2025-7-19,TTE.PA,15,50,50,46,36.75
2025-7-19,SAN.PA,0,75,50,44,34.75
2025-7-19,BN.PA,65,50,50,65,59
2025-7-19,BNP.PA,85,100,25,49,63.25
2025-7-19,GLE.PA,100,50,50,46,66.5
2025-7-19,CA.PA,0,50,50,40,30
2025-7-19,DG.PA,85,0,50,52,55.25
