day,code,mm,macd,bollinger,rsi,score
2025-7-16,CS.PA,85,0,50,,
2025-7-16,CS.PA,85,0,50,,
2025-7-16,PARRO.PA,100,100,0,,
2025-7-16,CLARI.PA,100,25,50,,
2025-7-16,EN.PA,85,50,50,,
2025-7-16,OVH.PA,85,50,50,,
2025-7-16,ALO.PA,0,100,25,,
2025-7-16,TFI.PA,100,25,50,,
2025-7-16,ACA.PA,65,75,50,,
2025-7-16,HO.PA,85,75,50,,
2025-7-16,OR.PA,85,0,50,,
2025-7-16,TTE.PA,15,25,50,,
2025-7-16,SAN.PA,0,75,50,,
2025-7-16,BN.PA,75,50,75,,
2025-7-16,BNP.PA,85,50,50,,
2025-7-16,GLE.PA,100,50,50,,
2025-7-16,CA.PA,0,50,50,,
2025-7-16,DG.PA,85,0,50,,
2025-7-18,CLARI.PA,100,25,50,,
2025-7-18,CS.PA,85,0,50,,
2025-7-18,PARRO.PA,100,100,0,,
2025-7-18,EN.PA,85,50,50,,
2025-7-18,OVH.PA,85,50,50,,
2025-7-18,ALO.PA,0,100,50,,
2025-7-18,TFI.PA,100,25,50,,
2025-7-18,ACA.PA,65,50,50,,
2025-7-18,HO.PA,85,75,50,,
2025-7-18,TTE.PA,15,25,50,,
2025-7-18,OR.PA,85,0,50,,
2025-7-18,SAN.PA,0,75,50,,
2025-7-18,BN.PA,75,50,75,,
2025-7-18,BNP.PA,85,50,50,,
2025-7-18,GLE.PA,100,50,50,,
2025-7-18,CA.PA,0,50,50,,
2025-7-18,DG.PA,85,0,50,,
2025-7-19,CS.PA,85,100,50,,
2025-7-19,PARRO.PA,100,100,0,,
2025-7-19,CLARI.PA,100,25,50,,
2025-7-19,EN.PA,100,50,50,,
2025-7-19,OVH.PA,85,50,50,,
2025-7-19,ALO.PA,15,100,25,,
2025-7-19,TFI.PA,100,50,50,,
2025-7-19,ACA.PA,65,75,50,,
2025-7-19,HO.PA,75,75,50,,
2025-7-19,OR.PA,85,0,50,,
2025-7-19,TTE.PA,15,50,50,,
2025-7-19,SAN.PA,0,75,50,,
2025-7-19,BN.PA,65,50,50,,
2025-7-19,BNP.PA,85,100,25,,
2025-7-19,GLE.PA,100,50,50,,
2025-7-19,CA.PA,0,50,50,,
2025-7-19,DG.PA,85,0,50,,
2025-7-20,AFMBS.PA,N/A,,N/A,,
2025-7-20,MLAGP.PA,N/A,,N/A,,
2025-7-20,ALD.PA,N/A,,N/A,,
2025-7-20,ALGRE.PA,N/A,,N/A,,
2025-7-20,ALNEO.PA,N/A,,N/A,,
2025-7-20,LTA.PA,N/A,,N/A,,
2025-7-20,ALTUR.PA,N/A,,N/A,,
2025-7-20,APAM.PA,N/A,,N/A,,
2025-7-20,MT.PA,N/A,,N/A,,
2025-7-20,ARDO.PA,N/A,,N/A,,
2025-7-20,MLARO.PA,N/A,,N/A,,
2025-7-20,ARVBS.PA,N/A,,N/A,,
2025-7-20,MLAUD.PA,N/A,,N/A,,
2025-7-20,ALAUR.PA,N/A,,N/A,,
2025-7-20,AXW.PA,N/A,,N/A,,
2025-7-20,MLAZL.PA,N/A,,N/A,,
2025-7-20,MLBAT.PA,N/A,,N/A,,
2025-7-20,MLBMD.PA,N/A,,N/A,,
2025-7-20,BPSBS.PA,N/A,,N/A,,
2025-7-20,BPBS.PA,N/A,,N/A,,
2025-7-20,BIOS.PA,N/A,,N/A,,
2025-7-20,MLAAE.PA,N/A,,N/A,,
2025-7-20,CARP.PA,N/A,,N/A,,
2025-7-20,CATG.PA,N/A,,N/A,,
2025-7-20,CATR.PA,N/A,,N/A,,
2025-7-20,CBIBS.PA,N/A,,N/A,,
2025-7-20,CYAD.PA,N/A,,N/A,,
2025-7-20,CGG.PA,N/A,,N/A,,
2025-7-20,MLCVG.PA,N/A,,N/A,,
2025-7-20,MLCIO.PA,N/A,,N/A,,
2025-7-20,ALCLA.PA,N/A,,N/A,,
2025-7-20,CNV.PA,N/A,,N/A,,
2025-7-20,MLMFI.PA,N/A,,N/A,,
2025-7-20,MLCNT.PA,N/A,,N/A,,
2025-7-20,MLCOR.PA,N/A,,N/A,,
2025-7-20,CYBK1.PA,N/A,,N/A,,
2025-7-20,CYBKA.PA,N/A,,N/A,,
2025-7-20,CYBKB.PA,N/A,,N/A,,
2025-7-20,DEEZW.PA,N/A,,N/A,,
2025-7-20,DMSBS.PA,N/A,,N/A,,
